ID,cut,color,clarity,depth,table,price,x,y,z
244,Very Good,H,SI2,61.0,55.0,475,4.59,4.62,2.81
245,Very Good,E,SI1,59.3,59.0,2590,5.83,5.87,3.47
246,Premium,E,VS2,62.5,59.0,3078,5.7,5.72,3.57
247,Premium,H,VS1,60.8,60.0,5580,6.6,6.53,3.99
248,,G,IF,61.3,59.0,987,4.41,4.33,2.68
249,Fair,E,SI1,69.6,55.0,4853,6.0,5.92,4.15
250,Very Good,G,SI1,59.9,63.0,1197,5.07,5.11,3.05
251,Good,I,VS1,64.0,55.0,2184,5.8,5.86,3.73
252,Premium,G,SI2,60.6,60.0,5168,7.15,7.11,4.32
253,Very Good,H,SI1,63.0,60.0,1401,5.31,5.35,3.36
254,Ideal,G,VS2,62.1,54.0,6905,6.59,6.65,4.11
255,Ideal,F,VVS2,61.4,56.0,896,4.56,4.62,2.82
256,Ideal,J,VS2,62.1,54.0,393,4.39,4.44,2.74
257,Very Good,F,SI1,62.5,59.0,2591,5.63,5.7,3.54
258,Premium,E,VS1,,57.0,2818,5.94,,3.5
259,Ideal,E,VS1,61.5,56.0,692,4.45,4.5,2.75
260,Very Good,D,VS2,62.8,55.0,4192,6.07,6.12,3.83
261,Ideal,I,VS2,61.2,54.0,5391,6.73,6.76,4.13
262,,G,SI2,62.0,55.0,437,4.37,4.37,2.71
263,Premium,D,SI2,62.2,60.0,9234,7.3,7.23,4.52
264,Very Good,H,I1,61.9,60.6,3835,6.78,6.85,4.22
265,Ideal,I,IF,,55.0,1655,5.17,,3.23
266,Ideal,D,SI1,61.8,55.0,5768,6.52,6.61,4.06
267,,G,VS2,62.2,58.0,10419,7.16,7.19,4.46
268,Ideal,E,SI1,62.4,55.0,1343,5.09,5.14,3.19
269,Premium,E,SI1,63.0,57.0,16629,8.03,7.97,5.04
270,Very Good,H,VS1,61.8,57.1,2854,5.88,5.96,3.66
271,Premium,G,SI2,62.8,61.0,3385,6.15,6.08,3.84
272,Ideal,H,SI1,60.9,57.0,6488,6.9,6.96,4.22
273,Premium,D,SI1,61.4,58.0,969,4.82,4.82,2.96
274,,F,SI2,61.5,59.0,2482,5.75,5.73,3.53
275,Premium,I,SI2,62.7,57.0,4424,6.77,6.69,4.22
276,Good,G,SI1,63.1,57.0,1244,5.09,5.11,3.22
277,Ideal,D,VS1,61.4,54.0,2122,5.37,5.38,3.3
278,Premium,D,VS2,61.7,62.0,4717,6.1,6.09,3.76
279,Good,D,VS2,60.7,61.0,7026,6.39,6.46,3.9
280,Premium,G,VVS2,60.9,58.0,15302,7.42,7.39,4.51
281,Very Good,F,SI2,60.4,59.0,4241,6.49,6.53,3.93
282,Very Good,I,VS1,61.7,56.0,397,3.97,4.01,2.46
283,Very Good,H,SI2,,58.0,2293,5.78,,3.65
284,Premium,I,SI2,61.2,55.0,4120,6.66,6.63,4.07
285,Premium,G,SI1,58.8,58.0,4395,6.59,6.51,3.85
286,,G,SI2,63.5,60.0,3892,6.11,6.05,3.86
287,Good,G,SI1,,56.0,1350,5.21,,3.42
288,Premium,F,SI1,60.9,58.0,5237,6.66,6.61,4.04
289,Ideal,F,SI1,60.9,55.0,1569,5.39,5.41,3.29
290,Good,F,SI1,61.7,65.0,2401,5.7,5.65,3.5
291,Premium,J,SI1,60.2,62.0,4491,7.12,7.03,4.26
292,Very Good,G,SI2,63.6,57.0,3350,6.07,6.13,3.88
293,Very Good,E,SI2,62.4,57.0,2894,5.91,5.98,3.71
294,Very Good,I,VS2,62.3,57.0,13608,7.78,7.85,4.87
295,Ideal,E,SI1,62.4,57.0,970,4.79,4.76,2.98
296,Very Good,F,SI2,61.6,58.0,3520,6.15,6.23,3.81
297,Ideal,G,SI2,59.4,57.0,1229,5.55,5.52,3.29
298,Ideal,H,VVS2,61.9,57.0,8015,6.85,6.89,4.25
299,Premium,E,VS2,62.3,58.0,2824,5.71,5.65,3.54
300,Very Good,G,SI1,60.7,59.0,5678,6.73,6.87,4.13
301,Premium,F,VVS1,62.0,59.0,868,4.25,4.26,2.64
302,Premium,G,SI2,62.1,60.0,18003,8.27,8.23,5.12
303,Ideal,E,IF,61.9,56.0,17352,6.81,6.85,4.23
304,Very Good,D,VS2,59.0,59.0,2022,5.6,5.66,3.32
305,Ideal,E,VVS2,60.1,57.0,1244,4.85,4.8,2.9
306,Very Good,G,VS2,,55.0,544,4.38,,2.73
307,Very Good,D,SI2,60.7,55.0,1305,5.15,5.17,3.13
308,Very Good,E,SI1,63.3,56.0,1641,5.35,5.3,3.37
309,Premium,G,VS1,59.8,58.0,1624,5.15,5.19,3.09
310,Ideal,H,VS2,61.8,55.0,3188,5.75,5.78,3.56
311,Ideal,G,VS2,,57.0,6177,6.5,,4.0
312,Very Good,I,SI1,63.3,55.0,1073,5.13,5.1,3.24
313,,E,VS1,62.0,59.0,7821,6.38,6.42,3.97
314,Very Good,E,VS1,,55.0,556,4.19,,2.63
315,Ideal,F,VS2,61.6,56.0,7453,6.64,6.65,4.09
316,Very Good,I,VS1,60.2,65.0,6894,7.26,7.2,4.35
317,Premium,J,VS2,62.7,60.0,488,4.34,4.3,2.71
318,Ideal,J,SI1,62.2,54.0,8610,7.52,7.59,4.7
319,Very Good,E,VVS1,63.3,57.0,479,3.92,3.95,2.49
320,Good,E,SI2,63.2,61.0,1000,5.0,5.06,3.18
321,Ideal,E,IF,61.9,55.0,16823,6.94,6.89,4.28
322,Ideal,G,VVS1,61.4,56.0,790,4.29,4.34,2.65
323,Ideal,F,VS2,61.5,55.0,644,4.4,4.42,2.71
324,Ideal,H,VVS2,61.7,56.0,828,4.41,4.38,2.71
325,Ideal,J,SI1,61.8,56.0,6260,7.18,7.13,4.42
326,Ideal,F,VS2,62.5,57.0,565,4.28,4.33,2.69
327,Very Good,F,SI1,61.6,58.0,2436,5.72,5.83,3.56
328,Premium,H,VS1,61.7,58.0,1613,5.34,5.29,3.28
329,Very Good,F,VS2,63.3,56.0,13080,7.21,7.27,4.58
330,Ideal,D,VVS2,61.7,56.0,2741,5.16,5.14,3.18
331,Ideal,F,SI2,61.3,55.0,5163,6.6,6.61,4.05
332,Very Good,E,VS2,63.0,57.0,680,4.3,4.34,2.72
333,Very Good,H,VS1,62.6,54.4,7786,6.79,6.81,4.26
334,Very Good,E,SI1,63.0,57.0,674,4.3,4.27,2.7
335,Premium,I,SI1,62.1,59.0,3467,6.21,6.16,3.84
336,Very Good,F,SI2,62.1,58.0,9552,7.25,7.34,4.53
337,Ideal,G,VVS1,,55.0,1081,4.4,,2.73
338,Ideal,D,VS1,62.1,55.0,580,4.11,4.1,2.55
339,Ideal,D,SI2,62.0,57.0,4242,6.41,6.39,3.97
340,Premium,G,VS2,61.6,60.0,675,4.33,4.27,2.65
341,Very Good,F,VS2,62.6,58.0,11667,7.12,7.2,4.48
342,Premium,I,VVS2,62.1,58.0,8467,7.21,7.15,4.46
343,Very Good,D,VS2,61.4,57.0,1321,4.95,4.99,3.05
344,,I,VVS2,62.1,56.0,495,4.25,4.31,2.66
345,Very Good,H,VVS2,,56.0,3208,5.88,,3.61
346,Very Good,D,SI1,64.0,56.0,3085,5.72,5.75,3.67
347,Ideal,F,SI1,62.8,57.0,2515,5.65,5.68,3.56
348,Ideal,J,SI1,62.0,57.0,8900,7.68,7.62,4.74
349,,J,VVS2,64.2,56.0,1922,5.58,5.63,3.6
350,Ideal,E,VS2,62.3,55.0,959,4.78,4.82,2.99
351,Ideal,H,SI1,62.1,56.0,1179,5.17,5.26,3.24
352,Premium,H,VS1,62.0,59.0,743,4.46,4.44,2.76
353,Premium,E,VS2,60.0,60.0,658,4.35,4.41,2.63
354,,H,VS1,61.2,61.0,5294,6.42,6.43,3.93
355,Ideal,I,VVS1,62.3,56.0,2606,5.69,5.73,3.56
356,Good,E,SI1,64.0,56.0,687,4.69,4.71,3.01
357,Ideal,G,VVS2,61.2,57.0,2844,5.81,5.85,3.57
358,Good,H,VS2,63.4,57.0,552,4.5,4.55,2.87
359,Very Good,J,VS1,61.0,62.0,616,4.65,4.72,2.86
360,Ideal,F,SI1,60.5,57.0,4401,6.21,6.28,3.78
361,Premium,F,VS2,61.2,58.0,801,4.37,4.36,2.67
362,Premium,E,VS2,60.7,60.0,14844,7.46,7.37,4.5
363,Ideal,F,VS1,61.3,56.0,2039,5.35,5.36,3.28
364,Ideal,I,VS1,62.6,56.0,17523,7.99,7.95,4.99
365,Very Good,D,SI1,63.0,59.0,5551,6.39,6.44,4.04
366,Premium,E,SI1,,58.0,3297,5.97,,3.66
367,Premium,G,VS1,61.7,59.0,605,4.28,4.34,2.66
368,Very Good,D,VVS2,,58.0,485,4.02,,2.46
369,Ideal,E,VVS2,61.2,56.0,10222,6.52,6.61,4.02
370,Premium,G,VS2,,58.0,1447,5.18,,3.17
371,Ideal,I,VS2,62.4,57.0,10098,7.5,7.43,4.66
372,Good,I,VS1,58.8,65.0,15852,8.09,8.04,4.74
373,Fair,G,VS1,56.4,65.0,2385,5.91,5.87,3.32
374,Very Good,D,VS2,62.9,57.0,402,3.92,3.97,2.48
375,Ideal,E,SI2,59.1,57.0,3588,6.64,6.6,3.91
376,Ideal,G,VS2,60.6,57.0,6793,6.54,6.57,3.97
377,Premium,G,VS2,61.7,58.0,765,4.51,4.44,2.76
378,Ideal,H,I1,62.9,56.0,5170,7.41,7.35,4.64
379,Very Good,J,VS2,61.8,59.0,13947,8.14,8.2,5.05
380,,I,VS1,62.2,57.0,1441,5.34,5.37,3.33
381,Ideal,G,VVS2,60.0,56.0,1974,5.24,5.2,3.13
382,Ideal,D,SI1,61.4,56.0,6202,6.61,6.72,4.09
383,Ideal,F,VS2,61.8,54.0,15426,7.45,7.48,4.61
384,Ideal,H,VS2,62.1,57.0,5426,6.43,6.39,3.98
385,Very Good,G,VVS2,60.4,58.0,354,3.96,4.02,2.41
386,Ideal,E,VVS2,44.0,56.0,1067,4.7,4.67,2.06
387,Premium,F,VS2,63.0,57.0,2801,5.67,5.63,3.56
388,Premium,E,VVS2,,61.0,2507,5.45,,3.24
389,Ideal,F,VS2,60.6,56.0,1809,5.42,5.44,3.29
390,Ideal,D,SI1,61.1,57.0,552,4.28,4.33,2.63
391,Ideal,E,SI1,61.3,57.0,1601,5.53,5.46,3.37
392,Good,E,SI2,64.3,57.0,798,4.7,4.66,3.01
393,Premium,D,SI1,60.8,60.0,3812,6.29,6.25,3.81
394,Very Good,J,SI1,62.4,57.0,389,4.33,4.42,2.73
395,Ideal,H,IF,60.9,56.0,1080,4.43,4.4,2.69
396,Premium,F,VS1,60.4,60.0,657,4.3,4.31,2.6
397,Premium,H,VS2,61.6,56.0,5728,6.75,6.66,4.13
398,Ideal,G,SI1,61.9,55.0,744,4.6,4.64,2.86
399,,F,VS2,62.1,59.0,854,4.44,4.38,2.74
400,Ideal,D,VS2,61.0,56.0,1992,5.32,5.4,3.27
401,Premium,E,SI1,61.3,57.0,4229,6.34,6.25,3.86
